mainid,type,isid,indate,inmonth,indays,title,chip,inreasoncode,inreason,class,classname,variety,color,area,sex,name,userTag,asylumnm,asylumtel,asylumaddr,note,photo,weburl,piclocalurl,endDay,createdate
17251,2,AAADG2019020902,2019-02-09T00:00:00,2019-02,622,AAADG2019020902,,138,政府捕捉,1,犬,混種狗,黑,鶯歌區,母         ,AAADG2019020902,AAADG,新北市板橋區公立動物之家,02-89662158,新北市板橋區板城路28-1號,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/44632381-d1a0-4aa9-af2e-334f157f9847_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=83382&AcceptNum=AAADG2019020902&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\AAADG2019020902.jpg,2020/11/10,2020-10-23 15:45:16.660
17252,2,AAAEG1080208001,2019-02-08T00:00:00,2019-02,623,AAAEG1080208001,,138,政府捕捉,1,犬,混種狗,黑,土城區,母         ,AAAEG1080208001,AAAEG,新北市中和區公立動物之家,02-86685547,新北市中和區興南路三段100號,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/62ec48b4-be44-4847-b3f9-907a16ab2380_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=83342&AcceptNum=AAAEG1080208001&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\AAAEG1080208001.jpg,2020/11/10,2020-10-23 15:45:16.863
17253,2,AAADG2019020101,2019-02-01T00:00:00,2019-02,630,AAADG2019020101,,1622,收容所轉入,1,犬,混種狗,黑,板橋區,母         ,AAADG2019020101,AAADG,新北市板橋區公立動物之家,02-89662158,新北市板橋區板城路28-1號,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/0d59792f-f075-4409-adec-2772a016a5b1_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=83255&AcceptNum=AAADG2019020101&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\AAADG2019020101.jpg,2020/11/10,2020-10-23 15:45:17.117
17254,2,CAAAG1080201010,2019-02-01T00:00:00,2019-02,630,CAAAG1080201010,990000002295665,15,不擬續養,1,犬,混種狗,黑,龍潭區,母         ,CAAAG1080201010,CAAAG,桃園市動物保護教育園區,03-4861760,桃園市新屋區永興里3鄰藻礁路1668號,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/7860f67c-f034-44f3-97a5-20efd1e19b3b_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=83196&AcceptNum=CAAAG1080201010&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\CAAAG1080201010.jpg,2020/11/10,2020-10-23 15:45:17.313
17255,2,CAAAG1080201011,2019-02-01T00:00:00,2019-02,630,CAAAG1080201011,900042000287232,15,不擬續養,1,犬,混種狗,白,龍潭區,公         ,CAAAG1080201011,CAAAG,桃園市動物保護教育園區,03-4861760,桃園市新屋區永興里3鄰藻礁路1668號,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/dee6d343-04e2-474a-9dd9-28d2774c660e_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=83257&AcceptNum=CAAAG1080201011&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\CAAAG1080201011.jpg,2020/11/10,2020-10-23 15:45:17.560
17256,2,CAAAG1080201013,2019-02-01T00:00:00,2019-02,630,CAAAG1080201013,990000002295698,15,不擬續養,1,犬,混種狗,虎斑,龍潭區,母         ,CAAAG1080201013,CAAAG,桃園市動物保護教育園區,03-4861760,桃園市新屋區永興里3鄰藻礁路1668號,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/f6c9c7ff-20fe-40ed-b4ee-191db2f7aa55_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=83260&AcceptNum=CAAAG1080201013&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\CAAAG1080201013.jpg,2020/11/10,2020-10-23 15:45:17.823
17257,2,108-H029D,2019-02-01T00:00:00,2019-02,630,108-H029D,990000001397519,138,政府捕捉,1,犬,混種狗,黑,元長鄉,公         ,108-H029D,IAAAG,雲林縣流浪動物收容所,,,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/9ab796d3-2cf4-4472-9bad-814d5b6a304e_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=83233&AcceptNum=108-H029D&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\108-H029D.jpg,2020/11/10,2020-10-23 15:45:18.030
17258,2,108-H032D,2019-02-01T00:00:00,2019-02,630,108-H032D,991001000300422,138,政府捕捉,1,犬,混種狗,黑黃,元長鄉,母         ,108-H032D,IAAAG,雲林縣流浪動物收容所,,,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/e445da45-652e-4617-a017-c692ffcdc89f_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=83237&AcceptNum=108-H032D&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\108-H032D.jpg,2020/11/10,2020-10-23 15:45:18.250
17273,2,S080123-07,2019-01-23T00:00:00,2019-01,639,S080123-07,,138,政府捕捉,1,犬,混種狗,黃,新營區,公         ,S080123-07,UAABG,臺南市動物之家善化站,06-5832399,臺南市善化區東昌里東勢寮1~19號,本站動物皆採現場互動面談後評估能否認養 不接受系統上的預約,https://asms.coa.gov.tw/Amlapp/Upload/Pic/b8cb4955-7d89-4e2c-a17b-01ca9370969a_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=82380&AcceptNum=S080123-07&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\S080123-07.jpg,2020/11/10,2020-10-23 15:45:22.753
17274,2,AAAFG1080123001,2019-01-23T00:00:00,2019-01,639,AAAFG1080123001,,138,政府捕捉,1,犬,混種狗,黑,淡水區,母         ,AAAFG1080123001,AAAFG,新北市淡水區公立動物之家,02-26267558,新北市淡水區下圭柔山91之3號,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/3d8fb92b-e47d-43d3-a24c-c01737d57eec_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=82224&AcceptNum=AAAFG1080123001&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\AAAFG1080123001.jpg,2020/11/10,2020-10-23 15:45:23.010
17275,2,CAAAG1080122012,2019-01-22T00:00:00,2019-01,640,CAAAG1080122012,990000000510107,138,政府捕捉,1,犬,混種狗,黑,觀音區,公         ,CAAAG1080122012,CAAAG,桃園市動物保護教育園區,03-4861760,桃園市新屋區永興里3鄰藻礁路1668號,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/ecf1cfcd-620c-4ff8-b517-f2386812f491_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=82154&AcceptNum=CAAAG1080122012&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\CAAAG1080122012.jpg,2020/11/10,2020-10-23 15:45:23.267
17276,2,CAAAG1080122014,2019-01-22T00:00:00,2019-01,640,CAAAG1080122014,990000000510109,138,政府捕捉,1,犬,混種狗,黑,觀音區,公         ,CAAAG1080122014,CAAAG,桃園市動物保護教育園區,03-4861760,桃園市新屋區永興里3鄰藻礁路1668號,,https://asms.coa.gov.tw/Amlapp/Upload/Pic/e0efad65-66e3-4c51-a5fe-cce37fdbdbde_org.jpg,https://asms.coa.gov.tw/Amlapp/App/AnnounceList.aspx?Id=82157&AcceptNum=CAAAG1080122014&PageType=Adopt,C:\Users\miomio-NB\Desktop\PythonII_¸ê®ÆÂ^¨ú(ª¦ÂÎ)_´Á¥½§@·~_¤½À]\pic\CAAAG1080122014.jpg,2020/11/10,2020-10-23 15:45:23.517
